ITEM_ID,TAGS
B00E1PHH2E,120
B00H9DD6IY,488
B005HDYQZA,378
B002JE1IU6,315
B00QU71CKO,141
B00GJOR0KO,315
B00HSBZW2K,153
B00HB2S6K6,462
B00387EF0S,48
B00DBYL7O0,265
B00ISJPLQS,487
B0073IC6FE,314
B00JGM8TEM,462
B00APJGZY6,489
B00B78M8YA,315
B0063JNA54,265
B00V0H2OY2,141
B00AOIOSOM,265
B00B2BX2LU,502
B000M92H8C,388
B00JPZ0Z06,96
B000FJOPWK,314
B005FN17EU,265
B00NH9PW0O,105
B00R49AAXM,99
B00R7EECGU,141
B00JLDLM6I,96
B00GU9Z0FK,96
B00GYMNEN8,489
B008GNQ3TA,315
B009BRNN8O,120
B005149QRS,315
B0054SOBJY,236
B00IFBNCH4,96
B00PT2FRFC,265
B00QO5E8IA,265
B00HJ7H2ZI,315
B0058SO6WW,98
B009VEA3L2,71
B0077CLVYS,514
B00ABUDXSK,534
B00UM1I3VU,407
B00CG660C8,425
B002XZMF30,127
B008RYBP96,236
B007MM9S02,238
B00475C2UK,415
B00JZFR8PG,105
B006WZPU1Q,0
B00NFA3TBO,141
B00I2ZECKY,489
B000B7RIIY,265
B000EC11R0,315
B008KP7XFC,315
B00JXU2U3I,141
B00KD5I6MG,96
B00NNLF75Q,236
B004RIOHQ4,315
B004UVKHSA,478
B000FE0DT4,388
B00KHF050I,315
B00HX9K58I,96
B00TFSB412,207
B00DQ4Q39Y,105
B00756VLLE,141
B00NO43CRC,96
B004LQ16CA,252
B003OCQW3U,96
B00DNSQKQO,105
B00HQ97P56,378
B006B5W87G,388
B00MBGL8FC,96
B0009SUXZA,329
B00VJS36U8,153
B00505T2UY,315
B00JXFXIC0,489
B00EZZFDJE,236
B00CIZMEUO,105
B00BGP1B10,378
B00HVHL48W,489
B00DYCY7YQ,489
B00QU4VUTU,140
B00VI86NZO,487
B005VAAFAY,265
B00IITQSVA,265
B00E3AJ8GU,260
B007ZDF9TC,489
B00HWQKJ42,105
B003NZXD3A,462
B008R6TL6S,503
B00AWM2JAU,96
B005UAG0RW,238
B002CMLI5U,153
B00JBLXEES,141
B00O7A8ZJM,459
B00DY102VO,3
B00BS2CQ6U,534
B00W4ICYYQ,489
B0035JL1WO,399
B002KAO1Y4,265
B00RXVGZLC,96
B00UV3DXY6,96
B00IJWQYMY,260
B00SUCPEOC,487
B00K5LXAXI,235
B00KY3JOPA,378
B00NEEL32I,71
B00RE6AFJE,141
B0056WQ1HI,238
B00NUM0460,514
B004DK8GHM,527
B00FKJKQW8,489
B00BIUZHTA,120
B00I4R3TZY,96
B00Z9AB2GM,265
B00KJ24QWW,244
B00FN1EWVE,265
B00WWAYVPG,141
B00O7PEWWG,96
B002FOIZA6,459
B0096NIERI,141
B00E6BSLFK,465
B00YC5QKLM,141
B000IAW1AE,96
B002JW0C1Y,140
B005MGBZGK,96
B00E8CNBJI,489
B002XKHMHO,483
B004LGIAMY,141
B003BEE6WA,265
B00S8J8K2K,315
B00JFFCD5Q,105
B009LG9K46,378
B00PYZ8QXY,236
B00AQEAUVO,140
B00GDK50XI,141
B0007UQKPM,514
B00BJORJJQ,153
B00IT8NPAW,400
B00OG6KZHW,315
B002N1TZNW,96
B010MSZK7C,315
B00JRXLGNG,265
B00JQFEB0A,315
B00QPP6BDO,459
B00SAI888K,96
B00CH5UZJC,412
B00C512RAI,329
B00D787AYQ,265
B00A0LBNRI,238
B00FSAHC80,462
B00AWW8W1A,489
B00I4DF7S0,465
B00IW8UEQW,120
B00DQZ5UYC,1
B00O8WQ2TE,96
B00LVFUETU,56
B00TQ4R5YK,232
B00I2GS1YQ,96
B00CIOJ8J0,96
B00BBB7ORY,120
B00A2VKGOC,104
B00763VYLS,141
B003GCUTN2,96
B00WHO0EIA,153
B00TIBZ16A,487
B00I8KFR7A,408
B00SJYCX0Y,315
B000UU9SXU,238
B002ZLOJBS,329
B00CY9X5S4,140
B008E6YINC,3
B00AB7LA74,48
B00J4JLYMG,96
B00J689ULW,317
B004LXR0ZK,265
B006GYFRAM,96
B00N7RITRE,140
B0002VAOJ4,96
B00CVTKSDM,141
B00QUVFPQM,141
B00BZQZNDC,329
B00063719O,265
B00BG6DDGU,236
B00BXALKFU,265
B0016ZS2NU,534
B00KBXQJG0,238
B00D9MO1JM,487
B00BXFI91I,265
B005TGWHD8,238
B00H89AASS,489
B00NM1QV34,96
B004AZG18G,331
B00CBPPAFC,238
B0100Q12A0,467
B00CZ7TYFI,265
B00CMODB6C,1
B002LD9RCG,523
B00945REWO,96
B00HVFEGJS,489
B00GRNT06E,238
B00OE5WEX8,3
B00MCUQ51E,140
B0041VQRUQ,265
B00NXLN8EI,459
B007ULG9SE,388
B00NGU0B78,534
B00K4VJMA4,96
B00MEPO8HK,208
B00IULA2MW,265
B005C9GJDG,502
B0036DDWS0,388
B00PWDU9KG,3
B00PY36RRS,105
B00CB9YSPG,265
B00Q3PKQNC,160
B007A2T8BS,534
B00O2TAF8C,96
B00DR909K2,160
B002GRW4C2,315
B00PM72Z7C,265
B004AV1108,3
B004AHL08A,238
B0097LGZ7U,465
B00NGESA3G,48
B00XIX9ESU,141
B00APPBO78,141
B00Q1ONZDI,99
B0059DSOPG,2
B0080G1KZA,388
B009SR3C5G,208
B00OX0AXHS,3
B004TXTNAW,96
B00246IBZE,96
B00ZZ1NQ00,96
B004Z4I4TG,238
B00DW0MMB0,3
B000Y13JS0,447
B009EABGCS,96
B00T7I0M36,141
B00VFZHMZA,315
B00CBL36F2,105
B00IPSKWAW,489
B00NPPE3MI,243
B00E3N5ZUA,96
B00A8RFZ82,388
B00NJTQMQ0,265
B00CBTRVDW,96
B00BM91YXU,3
B00IJOP8NI,315
B004V71ZDY,465
B00OOKH992,450
B0018MYE60,315
B00K4TJRAG,238
B00IQDTJSM,489
B00MKXBCDE,120
B004FOD1C6,1
B00VXXGYLC,141
B00MX37CJO,3
B00NISRO82,329
B004ORJ0XI,62
B00D6F13A2,238
B003IPCSI6,503
B009X1GG4Q,534
B000HJTDF2,315
B00CIV4LIG,265
B002NLG5YY,265
B00HUS76N4,265
B00IYNSWAU,388
B004KFLVRW,315
B00366038E,120
B007HXMJK2,503
B00B5GGSYA,315
B001V5JDQ0,450
B002C01UDM,96
B00JH9LQLC,487
B00D3F9AQY,96
B00R1MTSO4,534
B00STV05FM,207
B00K741N1O,260
B00E83KV7W,236
B003UMF1U4,238
B00PEFN0TY,105
B00A1BONYW,96
B00NZ6Y4MQ,96
B003DPNLF0,315
B00MWSS7RQ,1
B00AAU3KXY,415
B00IU7LHPW,96
B00KD6MV2G,208
B003AHWJKY,388
B00CWLN1YW,399
B00B5279XS,1
B006VC5FN8,96
B00FXVTJRG,315
B009S3I3G8,140
B00TG2BOLC,462
B009KG8NIQ,378
B000632SLU,208
B00JEL6FR8,141
B00V738UQU,265
B00SOFT4KA,487
B00IUCBNLU,450
B00974TNHG,141
B00HT43EHQ,127
B001BKR8FI,534
B0087TER0K,238
B00PWQ6DN0,265
B00DUBI8LO,3
B004J34M7G,424
B00E7YNUEI,141
B00S1ONP1I,1
B0017IW8S6,140
B00NJO24GM,105
B00P002FAI,96
B00YDMWC6Q,153
B00525U1SE,238
B00NOIPF9Q,99
B00CEWEIFK,120
B000I2T6N2,315
B0000EI2ON,96
B00F3SJT2E,388
B00I9GKGW4,489
B00A9SJT8W,465
B0008EOWUW,238
B00HYU03UQ,99
B0013HGKCG,388
B00JDQQCGI,71
B00B5WIG8U,465
B00DDAWIAE,465
B00GW85DJW,489
B00O2TASMK,96
B00S2WBU5W,534
B00IDV5M1A,96
B00TT2RJ9K,489
B00J2QBPPM,208
B00TRV2QUK,534
B005NH0DM0,416
B00BBLA0AM,523
B00GGH2VSA,96
B0093MWUN6,315
B00CURMQ80,265
B00BSDHCCC,207
B002P8LIM4,96
B00U9NEK4A,265
B00N6PHYI2,315
B00BIHKNC4,459
B009XAYU7W,238
B00DN1FYF4,96
B000U5U3C0,96
B00AG0SVV4,315
B00HW1B4AU,3
B00HZJFWKW,315
B00DAPTTT0,265
B003MP8YEO,329
B00MY91VXA,235
B00TVDS67Q,315
B0009G9QXC,160
B00NVR424O,260
B00DQV42G8,191
B00GMQ5JLG,399
B00RCDGU84,489
B00GOW596I,315
B00WQO5PXA,208
B00365EI5Y,459
B00LP6I7AS,459
B00K1HQ3TE,141
B0083G0PVW,96
B00GD4G0SI,105
B00ECUIDVW,96
B00YA5WDOW,265
B00OZMKF90,388
B00CY6VR14,153
B004LJNLNY,1
